SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,LISTING_SOURCE
DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,2,1,INE250K01012,2,INE250K01012,533146,DLINKINDIA,D-Link (India) Ltd,Active,B ,2.0,INE250K01012,IT Networking Equipment,Equity,BOTH
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10,INE192R01011,540376,DMART,Avenue Supermarts Ltd,Active,B ,10.0,INE192R01011,Department Stores,Equity,BOTH
DOLATALGO,Dolat Algotech Limited,EQ,12-JAN-2024,1,1,INE966A01022,1,INE966A01022,505526,DOLAT,DOLAT INVESTMENTS LTD.,Active,XT,1.0,INE966A01022,Investment Companies,Equity,BOTH
DONEAR,Donear Industries Limited,EQ,20-DEC-2006,2,1,INE668D01028,2,INE668D01028,512519,DONEAR,DONEAR INDUSTRIES LTD.-$,Active,T ,2.0,INE668D01028,Textiles,Equity,BOTH
DREDGECORP,Dredging Corporation of India Limited,EQ,15-JAN-2004,10,1,INE506A01018,10,INE506A01018,523618,DREDGECORP,DREDGING CORPORATION OF INDIA LTD.,Active,B ,10.0,INE506A01018,Shipping,Equity,BOTH
DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,10,1,INE417B01040,10,INE417B01040,532365,DSSL,DYNACONS SYSTEMS &amp; SOLUTIONS LTD.,Active,B ,10.0,INE417B01040,IT Consulting &amp; Software,Equity,BOTH
DTIL,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015,10,1,INE341R01014,10,INE341R01014,538902,DHUNTEAIND,Dhunseri Tea &amp; Industries Ltd,Active,T ,10.0,INE341R01014,Tea &amp; Coffee,Equity,BOTH
DUCON,Ducon Infratechnologies Limited,EQ,09-OCT-2012,1,1,INE741L01018,1,INE741L01018,534674,DUCON,Ducon Infratechnologies Ltd,Active,B ,1.0,INE741L01018,Comm.Trading  &amp; Distribution,Equity,BOTH
DVL,Dhunseri Ventures Limited,EQ,11-JAN-2008,10,1,INE477B01010,10,INE477B01010,523736,DPL,Dhunseri Petrochem Limited-$,Active,B ,10.0,INE477B01010,Fibres &amp; Plastics,Equity,BOTH
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,1,1,INE366A01041,1,INE366A01041,532610,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD.,Active,B ,1.0,INE366A01041,Sugar,Equity,BOTH
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006,10,1,INE221B01012,10,INE221B01012,505242,DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$,Active,B ,10.0,INE221B01012,Industrial Machinery,Equity,BOTH
DYNPRO,Dynemic Products Limited,EQ,19-JUL-2017,10,1,INE256H01015,10,INE256H01015,532707,DYNPRO,DYNEMIC PRODUCTS LTD.,Active,T ,10.0,INE256H01015,Specialty Chemicals,Equity,BOTH
ECLERX,eClerx Services Limited,EQ,31-DEC-2007,10,1,INE738I01010,10,INE738I01010,532927,ECLERX,ECLERX SERVICES LTD.,Active,A ,10.0,INE738I01010,BPO/KPO,Equity,BOTH
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,1,1,INE532F01054,1,INE532F01054,532922,EDELWEISS,Edelweiss Financial Services Ltd.,Active,A ,1.0,INE532F01054,Other Financial Services,Equity,BOTH
EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,1,1,INE126A01031,1,INE126A01031,500125,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.0,INE126A01031,Sugar,Equity,BOTH
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-APR-2008,10,1,INE276C01014,10,INE276C01014,523127,EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$,Active,B ,10.0,INE276C01014,Hotels,Equity,BOTH
EIHOTEL,EIH Limited,EQ,08-FEB-1995,2,1,INE230A01023,2,INE230A01023,500840,EIHOTEL,EIH LTD.,Active,B ,2.0,INE230A01023,Hotels,Equity,BOTH
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-APR-1996,10,1,INE158B01016,10,INE158B01016,523708,EIMCOELECO,EIMCO ELECON (INDIA) LTD.,Active,B ,10.0,INE158B01016,Industrial Machinery,Equity,BOTH
EKC,Everest Kanto Cylinder Limited,EQ,15-DEC-2005,2,1,INE184H01027,2,INE184H01027,532684,EKC,EVEREST KANTO CYLINDER LTD.,Active,B ,2.0,INE184H01027,Other Industrial Products,Equity,BOTH
ELECTCAST,Electrosteel Castings Limited,EQ,20-JUN-2003,1,1,INE086A01029,1,INE086A01029,500128,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1.0,INE086A01029,Construction &amp; Engineering,Equity,BOTH
ELECTHERM,Electrotherm (India) Limited,EQ,20-AUG-2007,10,1,INE822G01016,10,INE822G01016,526608,ELECTHERM,ELECTROTHERM (INDIA) LTD.,Active,B ,10.0,INE822G01016,Iron &amp; Steel Products,Equity,BOTH
ELGIEQUIP,Elgi Equipments Limited,EQ,22-NOV-1995,1,1,INE285A01027,1,INE285A01027,522074,ELGIEQUIP,ELGI EQUIPMENTS LTD.,Active,B ,1.0,INE285A01027,Industrial Machinery,Equity,BOTH
EMAMILTD,Emami Limited,EQ,03-AUG-2006,1,1,INE548C01032,1,INE548C01032,531162,EMAMILTD,EMAMI LTD.-$,Active,A ,1.0,INE548C01032,Personal Products,Equity,BOTH
EMAMIREAL,Emami Realty Limited,EQ,28-JUL-2010,2,1,INE778K01012,2,INE778K01012,533218,EMAMIINFRA,EMAMI INFRASTRUCTURE LTD.,Active,B ,2.0,INE778K01012,Realty,Equity,BOTH
EMBDL,Embassy Developments Limited,EQ,23-MAR-2007,2,1,INE069I01010,2,INE069I01010,532832,IBREALEST,INDIABULLS REAL ESTATE LTD.,Active,A ,2.0,INE069I01010,Realty,Equity,BOTH
EMKAY,Emkay Global Financial Services Limited,BE,28-APR-2006,10,1,INE296H01011,10,INE296H01011,532737,EMKAY,EMKAY GLOBAL FINANCIAL SERVICES LTD.,Active,B ,10.0,INE296H01011,Other Financial Services,Equity,BOTH
EMMBI,Emmbi Industries Limited,EQ,24-FEB-2010,10,1,INE753K01015,10,INE753K01015,533161,EMMBI,Emmbi Industries Ltd,Active,B ,10.0,INE753K01015,Containers &amp; Packaging,Equity,BOTH
ENDURANCE,Endurance Technologies Limited,EQ,19-OCT-2016,10,1,INE913H01037,10,INE913H01037,540153,ENDURANCE,Endurance Technologies Ltd,Active,B ,10.0,INE913H01037,2/3 Wheelers,Equity,BOTH
ENERGYDEV,Energy Development Company Limited,BE,02-NOV-2007,10,1,INE306C01019,10,INE306C01019,532219,ENERGYDEV,ENERGY DEVELOPMENT COMPANY LTD.,Active,B ,10.0,INE306C01019,Electric Utilities,Equity,BOTH
ENGINERSIN,Engineers India Limited,EQ,20-AUG-1997,5,1,INE510A01028,5,INE510A01028,532178,ENGINERSIN,ENGINEERS INDIA LTD.,Active,A ,5.0,INE510A01028,Consulting Services,Equity,BOTH
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10,1,INE265F01028,10,INE265F01028,532700,ENIL,ENTERTAINMENT NETWORK (INDIA) LTD.,Active,B ,10.0,INE265F01028,Broadcasting &amp; Cable TV,Equity,BOTH
EPL,EPL Limited,EQ,11-FEB-2002,2,1,INE255A01020,2,INE255A01020,500135,ESSELPRO,ESSEL PROPACK LTD.,Active,B ,2.0,INE255A01020,Containers &amp; Packaging,Equity,BOTH
ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,1,1,INE406M01024,1,INE406M01024,540596,ERIS,Eris Lifesciences Ltd,Active,B ,1.0,INE406M01024,Pharmaceuticals,Equity,BOTH
ESABINDIA,Esab India Limited,EQ,01-NOV-1995,10,1,INE284A01012,10,INE284A01012,500133,ESABINDIA,ESAB INDIA LTD.,Active,B ,10.0,INE284A01012,Other Industrial Goods,Equity,BOTH
ESCORTS,Escorts Kubota Limited,EQ,01-MAR-1995,10,1,INE042A01014,10,INE042A01014,500495,ESCORTS,ESCORTS LTD.,Active,A ,10.0,INE042A01014,Commercial Vehicles,Equity,BOTH
ESSARSHPNG,Essar Shipping Limited,BE,15-NOV-2011,10,1,INE122M01019,10,INE122M01019,533704,ESSARSHPNG,ESSAR SHIPPING LTD.,Active,B ,10.0,INE122M01019,Shipping,Equity,BOTH
ESTER,Ester Industries Limited,EQ,20-JUN-2011,5,1,INE778B01029,5,INE778B01029,500136,ESTER,ESTER INDUSTRIES LTD.,Active,B ,5.0,INE778B01029,Commodity Chemicals,Equity,BOTH
EUROTEXIND,Eurotex Industries and Exports Limited,BE,31-JAN-1996,10,1,INE022C01012,10,INE022C01012,521014,EUROTEXIND,EUROTEX INDUSTRIES &amp; EXPORTS LTD.,Active,B ,10.0,INE022C01012,Textiles,Equity,BOTH
EVEREADY,Eveready Industries India Limited,EQ,27-APR-2005,5,1,INE128A01029,5,INE128A01029,531508,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.,Active,B ,5.0,INE128A01029,Non-Durable Household Prod.,Equity,BOTH
EVERESTIND,Everest Industries Limited,EQ,29-MAR-1995,10,1,INE295A01018,10,INE295A01018,508906,EVERESTIND,EVEREST INDUSTRIES LTD.,Active,B ,10.0,INE295A01018,Cement &amp; Cement Products,Equity,BOTH
EXCELINDUS,Excel Industries Limited,EQ,16-JUN-2004,5,1,INE369A01029,5,INE369A01029,500650,EXCELINDUS,EXCEL INDUSTRIES LTD.,Active,B ,5.0,INE369A01029,Specialty Chemicals,Equity,BOTH
EXIDEIND,Exide Industries Limited,EQ,17-JUN-2003,1,1,INE302A01020,1,INE302A01020,500086,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.0,INE302A01020,Auto Parts &amp; Equipment,Equity,BOTH
EXPLEOSOL,Expleo Solutions Limited,EQ,26-OCT-2009,10,1,INE201K01015,10,INE201K01015,533121,SQSBFSI,SQS India BFSI Limited,Active,B ,10.0,INE201K01015,IT Consulting &amp; Software,Equity,BOTH
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10,INE188A01015,524244,FACT,FERTILIZERS &amp; CHEMICALS TRAVANCORE LTD.,Delisted,B ,10.0,INE188A01015,,Equity,BOTH
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-APR-1995,10,1,INE188A01015,10,INE188A01015,590024,FACT,FERTILIZERS &amp; CHEMICALS TRAVANCORE LTD.,Active,B ,10.0,INE188A01015,Fertilizers,Equity,BOTH
FCSSOFT,FCS Software Solutions Limited,EQ,21-SEP-2005,1,1,INE512B01022,1,INE512B01022,532666,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,Suspended,T ,1.0,INE512B01022,IT Consulting &amp; Software,Equity,BOTH
FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1,INE258B01022,531599,FDC,FDC LTD.,Active,B ,1.0,INE258B01022,Pharmaceuticals,Equity,BOTH
FEDERALBNK,The Federal Bank  Limited,EQ,08-FEB-1995,2,1,INE171A01029,2,INE171A01029,500469,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2.0,INE171A01029,Banks,Equity,BOTH
FEL,Future Enterprises Limited,BZ,05-NOV-2001,2,1,INE623B01027,2,INE623B01027,523574,FEL,Future Enterprises Ltd,Active,B ,2.0,INE623B01027,Department Stores,Equity,BOTH
FELDVR,Future Enterprises Limited,BZ,13-FEB-2009,2,1,IN9623B01058,2,IN9623B01058,570002,FELDVR,Future Enterprises Ltd,Active,B ,2.0,IN9623B01058,Department Stores,Equity,BOTH
FIEMIND,Fiem Industries Limited,EQ,19-OCT-2006,10,1,INE737H01014,10,INE737H01014,532768,FIEMIND,FIEM INDUSTRIES LTD.,Active,B ,10.0,INE737H01014,Auto Parts &amp; Equipment,Equity,BOTH
FINCABLES,Finolex Cables Limited,EQ,15-FEB-1995,2,1,INE235A01022,2,INE235A01022,500144,FINCABLES,FINOLEX CABLES LTD.,Active,A ,2.0,INE235A01022,Other Elect.Equip./ Prod.,Equity,BOTH
FINKURVE,Finkurve Financial Services Limited,EQ,01-OCT-2025,1,1,INE734I01027,1,INE734I01027,508954,FINKURVE,Finkurve Financial Services Ltd,Active,XT,1.0,INE734I01027,Finance (including NBFCs),Equity,BOTH
FLEXITUFF,Flexituff Ventures International Limited,EQ,19-OCT-2011,10,1,INE060J01017,10,INE060J01017,533638,FLEXITUFF,FLEXITUFF INTERNATIONAL LTD.,Active,B ,10.0,INE060J01017,Plastic Products,Equity,BOTH
FLFL,Future Lifestyle Fashions Limited,BZ,01-OCT-2013,2,1,INE452O01016,2,INE452O01016,536507,FLFL,Future Lifestyle Fashions Ltd,Active,B ,2.0,INE452O01016,Department Stores,Equity,BOTH
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-FEB-1995,10,1,INE529A01010,10,INE529A01010,505744,FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LTD.,Active,B ,10.0,INE529A01010,Auto Parts &amp; Equipment,Equity,BOTH
FMNL,Future Market Networks Limited,EQ,31-DEC-2010,10,1,INE360L01017,10,INE360L01017,533296,FMNL,FUTURE MARKET NETWORKS LTD.,Active,B ,10.0,INE360L01017,Department Stores,Equity,BOTH
FORCEMOT,FORCE MOTORS LTD,EQ,14-FEB-2024,10,1,INE451A01017,10,INE451A01017,500033,FORCEMOT,FORCE MOTORS LTD.-$,Active,B ,10.0,INE451A01017,Cars &amp; Utility Vehicles,Equity,BOTH
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10,INE061F01013,532843,FORTIS,FORTIS HEALTHCARE LTD.,Active,A ,10.0,INE061F01013,Healthcare Facilities,Equity,BOTH
FOSECOIND,Foseco India Limited,EQ,05-MAY-2003,10,1,INE519A01011,10,INE519A01011,500150,FOSECOIND,FOSECO INDIA LTD.,Active,B ,10.0,INE519A01011,Commodity Chemicals,Equity,BOTH
FSL,Firstsource Solutions Limited,EQ,22-FEB-2007,10,1,INE684F01012,10,INE684F01012,532809,FSL,FIRSTSOURCE SOLUTIONS LTD.,Active,A ,10.0,INE684F01012,BPO/KPO,Equity,BOTH
GABRIEL,Gabriel India Limited,EQ,20-APR-2005,1,1,INE524A01029,1,INE524A01029,505714,GABRIEL,GABRIEL INDIA LTD.-$,Active,B ,1.0,INE524A01029,Auto Parts &amp; Equipment,Equity,BOTH
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10,INE129A01019,532155,GAIL,GAIL (INDIA) LTD.,Active,A ,10.0,INE129A01019,Utilities:Non-Elec.,Equity,BOTH
GALLANTT,Gallantt Ispat Limited,EQ,04-APR-2006,10,1,INE297H01019,10,INE297H01019,532726,GALLANTT,GALLANTT METAL LTD.,Suspended,T ,10.0,INE297H01019,Iron &amp; Steel/Interm.Products,Equity,BOTH
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-JAN-2007,5,1,INE524B01027,5,INE524B01027,513108,GANDHITUBE,GANDHI SPECIAL TUBES LTD.-$,Active,B ,5.0,INE524B01027,Iron &amp; Steel Products,Equity,BOTH
GANECOS,Ganesha Ecosphere Limited,EQ,09-MAR-2015,10,1,INE845D01014,10,INE845D01014,514167,GANECOS,GANESHA ECOSPHERE LTD.,Active,B ,10.0,INE845D01014,Misc.Commercial Services,Equity,BOTH
GANESHHOU,GANESH HOUSING LIMITED,EQ,02-MAR-2007,10,1,INE460C01014,10,INE460C01014,526367,GANESHHOUC,GANESH HOUSING CORPORATION LTD.-$,Active,B ,10.0,INE460C01014,Realty,Equity,BOTH
GANGESSECU,Ganges Securities Limited,EQ,28-JUL-2017,10,1,INE335W01016,10,INE335W01016,540647,GANGESSEC,Ganges Securities Ltd,Active,T ,10.0,INE335W01016,,Equity,BOTH
GARFIBRES,Garware Technical Fibres Limited,EQ,03-APR-2007,10,1,INE276A01018,10,INE276A01018,509557,GARWALLROP,GARWARE-WALL ROPES LTD.,Active,B ,10.0,INE276A01018,Textiles,Equity,BOTH
GATECH,GACM Technologies Limited,EQ,25-JUL-2016,1,1,INE224E01028,1,INE224E01028,531723,STAMPEDE,Stampede Capital Limited,Active,T ,1.0,INE224E01028,Other Financial Services,Equity,BOTH
GATECHDVR,GACM Technologies Limited,EQ,10-OCT-2017,1,1,INE224E01036,1,INE224E01036,570005,SCAPDVR,Stampede Capital Ltd - DVR,Active,B ,1.0,INE224E01036,,Equity,BOTH
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10,INE916G01016,532764,GEECEE,GeeCee Ventures Limited,Active,B ,10.0,INE916G01016,Commodity Chemicals,Equity,BOTH
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10,INE916G01016,533983,GEECEEBBPH,GEECEEBBPH,Suspended,B ,10.0,INE916G01016,,Equity,BOTH
GENESYS,Genesys International Corporation Limited,EQ,23-JAN-2003,5,1,INE727B01026,5,INE727B01026,506109,GENESYS,GENESYS INTERNATIONAL CORPORATION LTD.,Active,B ,5.0,INE727B01026,IT Software Products,Equity,BOTH
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-FEB-2015,1,1,INE949P01018,1,INE949P01018,538961,GENUSPAPER,Genus Paper &amp; Boards Ltd,Active,T ,1.0,INE949P01018,Paper &amp; Paper Products,Equity,BOTH
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-JUL-2005,1,1,INE955D01029,1,INE955D01029,530343,GENUSPOWER,GENUS POWER INFRASTRUCTURES LTD.-$,Active,B ,1.0,INE955D01029,Other Elect.Equip./ Prod.,Equity,BOTH
GEOJITFSL,Geojit Financial Services Limited,EQ,01-JUL-2005,1,1,INE007B01023,1,INE007B01023,532285,GEOJITFSL,Geojit Financial Services Ltd,Active,B ,1.0,INE007B01023,Other Financial Services,Equity,BOTH
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-NOV-2006,10,1,INE017A01032,10,INE017A01032,500620,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Active,A ,10.0,INE017A01032,Shipping,Equity,BOTH
GFLLIMITED,GFL Limited,EQ,25-MAY-1995,1,1,INE538A01037,1,INE538A01037,500173,GUJFLUORO,GUJARAT FLUOROCHEMICALS LTD.,Active,B ,1.0,INE538A01037,Industrial Gases,Equity,BOTH
GHCL,GHCL Limited,EQ,31-JUL-2003,10,1,INE539A01019,10,INE539A01019,500171,GHCL,GHCL LTD.,Active,A ,10.0,INE539A01019,Commodity Chemicals,Equity,BOTH
GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,10,1,INE289B01019,10,INE289B01019,511676,GICHSGFIN,GIC HOUSING FINANCE LTD.,Active,B ,10.0,INE289B01019,Housing Finance ,Equity,BOTH
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,5,1,INE481Y01014,5,INE481Y01014,540755,GICRE,General Insurance Corporation of India,Active,B ,5.0,INE481Y01014,General Insurance,Equity,BOTH
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-DEC-2009,10,1,INE047B01011,10,INE047B01011,532716,GILLANDERS,GILLANDERS ARBUTHNOT &amp; CO.LTD.,Active,T ,10.0,INE047B01011,Diversified,Equity,BOTH
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10,INE322A01010,507815,GILLETTE,GILLETTE INDIA LTD.,Active,B ,10.0,INE322A01010,Personal Products,Equity,BOTH
GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,10,1,INE424C01010,10,INE424C01010,523325,GINNIFIL,GINNI FILAMENTS LTD.,Delisted,T ,10.0,INE424C01010,,Equity,BOTH
GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,10,1,INE424C01010,10,INE424C01010,590025,GINNIFILA,GINNI FILAMENTS LTD.,Active,B ,10.0,INE424C01010,Textiles,Equity,BOTH
GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10,1,INE162A01010,10,INE162A01010,517300,GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.,Active,B ,10.0,INE162A01010,Electric Utilities,Equity,BOTH
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10,1,INE159A01016,10,INE159A01016,500660,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Active,A ,10.0,INE159A01016,Pharmaceuticals,Equity,BOTH
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1,INE935A01035,532296,GLENMARK,GLENMARK PHARMACEUTICALS LTD.,Active,A ,1.0,INE935A01035,Pharmaceuticals,Equity,BOTH
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006,10,1,INE792H01019,10,INE792H01019,532773,GLOBALVECT,GLOBAL VECTRA HELICORP LTD.,Active,B ,10.0,INE792H01019,Airlines,Equity,BOTH
GLOBUSSPR,Globus Spirits Limited,EQ,23-SEP-2009,10,1,INE615I01010,10,INE615I01010,533104,GLOBUSSPR,GLOBUS SPIRITS LTD.,Active,T ,10.0,INE615I01010,Breweries &amp; Distilleries,Equity,BOTH
GMBREW,GM Breweries Limited,EQ,23-AUG-1995,10,1,INE075D01018,10,INE075D01018,507488,GMBREW,G.M.BREWERIES LTD.,Active,B ,10.0,INE075D01018,Breweries &amp; Distilleries,Equity,BOTH
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,2,1,INE131A01031,2,INE131A01031,532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,Active,A ,2.0,INE131A01031,Coal,Equity,BOTH
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,21-AUG-2006,1,1,INE776C01039,1,INE776C01039,532754,GMRINFRA,GMR INFRASTRUCTURE LTD.,Active,A ,1.0,INE776C01039,Electric Utilities,Equity,BOTH
GNA,GNA Axles Limited,EQ,26-SEP-2016,10,1,INE934S01014,10,INE934S01014,540124,GNA,G N A Axles Ltd,Active,B ,10.0,INE934S01014,Auto Parts &amp; Equipment,Equity,BOTH
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,10,1,INE113A01013,10,INE113A01013,500670,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS &amp; CHEMICALS LTD.,Active,A ,10.0,INE113A01013,Fertilizers,Equity,BOTH
GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,10,1,INE426D01013,10,INE426D01013,509567,GOACARBON,GOA CARBON LTD.-$,Active,B ,10.0,INE426D01013,Refineries/ Petro-Products,Equity,BOTH
GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014,2,1,INE077F01035,2,INE077F01035,506480,GOCLCORP,GOCL Corporation Ltd-$,Active,B ,2.0,INE077F01035,Oil Marketing &amp; Distribution,Equity,BOTH
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,2,1,INE260B01028,2,INE260B01028,500163,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.0,INE260B01028,Cigarettes-Tobacco Products,Equity,BOTH
GODREJAGRO,Godrej Agrovet Limited,EQ,16-OCT-2017,10,1,INE850D01014,10,INE850D01014,540743,GODREJAGRO,Godrej Agrovet Ltd,Active,B ,10.0,INE850D01014,Other Agricultural Products,Equity,BOTH
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1,1,INE102D01028,1,INE102D01028,532424,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.,Active,A ,1.0,INE102D01028,Personal Products,Equity,BOTH
GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003,1,1,INE233A01035,1,INE233A01035,500164,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.0,INE233A01035,Commodity Chemicals,Equity,BOTH
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5,1,INE484J01027,5,INE484J01027,533150,GODREJPROP,Godrej Properties Ltd,Active,A ,5.0,INE484J01027,Realty,Equity,BOTH
GOENKA,Goenka Diamond and Jewels Limited,BZ,16-APR-2010,1,1,INE516K01024,1,INE516K01024,533189,GOENKA,GOENKA DIAMOND &amp; JEWELS LTD.,Active,Z ,1.0,INE516K01024,Other Apparels &amp; Accessories,Equity,BOTH
GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005,5,1,INE887G01027,5,INE887G01027,532630,GOKEX,GOKALDAS EXPORTS LTD.,Active,B ,5.0,INE887G01027,Other Apparels &amp; Accessories,Equity,BOTH
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-JUN-2008,2,1,INE020J01029,2,INE020J01029,532980,GOKUL,GOKUL REFOILS &amp; SOLVENT LTD.,Active,T ,2.0,INE020J01029,Edible Oils,Equity,BOTH
GOLDENTOBC,Golden Tobacco Limited,BZ,08-FEB-1995,10,1,INE973A01010,10,INE973A01010,500151,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,T ,10.0,INE973A01010,Cigarettes-Tobacco Products,Equity,BOTH
GOLDTECH,AION-TECH SOLUTIONS LIMITED,EQ,11-APR-2001,10,1,INE805A01014,10,INE805A01014,531439,GOLDTECH,GOLDSTONE TECHNOLOGIES LTD.,Active,B ,10.0,INE805A01014,IT Consulting &amp; Software,Equity,BOTH
GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015,2,1,INE127I01024,2,INE127I01024,530655,GOODLUCK,Goodluck India Ltd,Active,B ,2.0,INE127I01024,Iron &amp; Steel Products,Equity,BOTH
GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,10,1,INE517F01014,10,INE517F01014,533248,GPPL,GUJARAT PIPAVAV PORT LTD.,Active,A ,10.0,INE517F01014,Marine Port &amp; Services,Equity,BOTH
GPTINFRA,GPT Infraprojects Limited,EQ,11-JUL-2016,10,1,INE390G01014,10,INE390G01014,533761,GPTINFRA,GPT INFRAPROJECTS LTD.,Active,B ,10.0,INE390G01014,Construction &amp; Engineering,Equity,BOTH
GRANULES,Granules India Limited,EQ,20-JUN-2005,1,1,INE101D01020,1,INE101D01020,532482,GRANULES,GRANULES INDIA LTD.-$,Active,A ,1.0,INE101D01020,Pharmaceuticals,Equity,BOTH
GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,2,1,INE371A01025,2,INE371A01025,509488,GRAPHITE,GRAPHITE INDIA LTD.,Active,B ,2.0,INE371A01025,Other Industrial Goods,Equity,BOTH
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,2,1,INE047A01021,2,INE047A01021,500300,GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,2.0,INE047A01021,Cement &amp; Cement Products,Equity,BOTH
GRAVITA,Gravita India Limited,EQ,16-NOV-2010,2,1,INE024L01027,2,INE024L01027,533282,GRAVITA,GRAVITA INDIA LTD.,Active,B ,2.0,INE024L01027,Other Non-Ferrous Metals,Equity,BOTH
GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004,2,1,INE224A01026,2,INE224A01026,501455,GREAVESCOT,GREAVES COTTON LTD.,Active,B ,2.0,INE224A01026,Industrial Machinery,Equity,BOTH
GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996,1,1,INE461C01038,1,INE461C01038,526797,GREENPLY,GREENPLY INDUSTRIES LTD.,Active,B ,1.0,INE461C01038,Forest Products,Equity,BOTH
GREENPOWER,Orient Green Power Company Limited,EQ,08-OCT-2010,10,1,INE999K01014,10,INE999K01014,533263,GREENPOWER,ORIENT GREEN POWER COMPANY LTD.,Active,B ,10.0,INE999K01014,Electric Utilities,Equity,BOTH
